dataset,fairness_condition,cov,cov_s,acc,acc_s,pos_0,pos_0_s,pos_1,pos_1_s,neg_0,neg_0_s,neg_1,neg_1_s,abs_0,abs_0_s,abs_1,abs_1_s,tpr_0,tpr_0_s,tpr_1,tpr_1_s,fnr_0,fnr_0_s,fnr_1,fnr_1_s,par_0,par_0_s,par_1,par_1_s,fpr_0,fpr_0_s,fpr_1,fpr_1_s,tnr_0,tnr_0_s,tnr_1,tnr_1_s,nar_0,nar_0_s,nar_1,nar_1_s
default,ind,61.78,0.83,86.59,0.53,1.11,0.41,1.1,0.21,60.07,1.83,61.08,0.89,38.82,1.81,37.82,0.99,3.21,1.32,3.94,0.86,35.35,1.42,36.72,1.89,61.44,1.88,59.34,2.0,0.44,0.24,0.36,0.11,68.03,2.26,67.39,0.93,31.53,2.21,32.25,0.94
bank,ind,62.24,1.14,98.51,0.16,0.67,0.12,0.43,0.29,61.49,1.15,62.87,2.68,37.84,1.15,36.7,2.71,4.85,0.87,0.92,0.66,2.74,0.45,24.53,2.69,92.41,0.71,74.55,2.4,0.22,0.06,0.24,0.19,67.88,1.26,77.95,3.38,31.9,1.26,21.81,3.46
german,ind,63.2,2.73,81.71,3.47,3.91,1.95,5.55,4.11,57.38,5.5,62.29,9.77,38.71,4.18,32.16,8.38,8.93,5.2,14.35,10.27,33.83,6.51,34.31,14.0,57.24,8.0,51.34,11.08,1.95,1.62,1.23,2.38,67.05,7.68,76.36,10.11,31.0,6.75,22.41,9.15
default,ind,63.26,0.73,86.53,0.53,1.15,0.41,1.1,0.22,62.56,1.12,61.88,1.22,36.29,1.06,37.02,1.25,3.3,1.3,3.94,0.86,36.98,1.46,37.33,2.3,59.72,1.7,58.72,2.3,0.46,0.24,0.37,0.11,70.8,1.32,68.23,1.06,28.74,1.23,31.4,1.05
compas,ind,63.28,5.65,67.4,1.07,20.06,7.17,16.66,3.22,44.62,6.61,45.93,5.76,35.33,11.48,37.4,5.94,30.45,8.74,26.24,4.69,33.42,5.89,34.09,5.31,36.13,11.41,39.66,6.74,12.81,6.21,8.09,2.1,52.37,8.07,56.5,6.29,34.83,11.99,35.41,5.89
compas,ind,63.31,5.0,67.66,1.16,17.95,2.05,16.57,3.13,44.44,5.61,47.09,7.22,37.61,6.6,36.34,7.91,27.84,2.83,26.13,4.58,33.34,6.57,34.67,6.94,38.82,8.09,39.2,8.22,11.04,1.89,8.01,2.03,52.14,6.13,58.18,7.54,36.81,6.21,33.81,7.9
adult,ind,63.71,0.75,84.85,0.59,2.51,0.4,2.62,0.42,61.33,0.89,60.84,1.12,36.16,0.7,36.54,1.29,7.95,1.34,17.48,2.76,39.65,1.51,29.8,3.11,52.4,1.29,52.72,4.16,0.05,0.03,0.75,0.22,71.11,0.87,64.75,0.97,28.84,0.86,34.5,0.99
compas,ind,64.08,6.87,67.44,1.19,18.01,2.05,16.65,3.25,45.15,6.47,47.85,8.78,36.84,6.52,35.5,9.88,27.93,2.83,26.24,4.73,33.95,6.51,35.81,7.67,38.12,6.97,37.94,10.13,11.08,1.87,8.07,2.12,52.9,7.29,58.58,9.67,36.02,7.18,33.35,10.04
bank,ind,64.29,1.15,98.42,0.17,0.71,0.12,0.47,0.28,63.49,1.11,64.99,2.71,35.8,1.11,34.54,2.75,5.15,0.8,1.04,0.7,3.07,0.54,26.96,2.81,91.78,0.74,72.0,2.53,0.23,0.07,0.24,0.19,70.06,1.2,79.94,3.39,29.71,1.2,19.82,3.47
default,ind,64.47,0.85,86.45,0.53,1.15,0.41,1.1,0.22,64.57,1.08,62.56,1.46,34.28,1.13,36.34,1.41,3.3,1.3,3.94,0.86,38.67,1.35,37.75,2.49,58.03,1.85,58.31,2.37,0.46,0.24,0.37,0.12,72.91,1.43,68.98,1.34,26.63,1.38,30.65,1.35
